reg_id;f_100;f_40;f_25;f_20;f_14.29;f_10;f_6.67;f_5;f_4;f_3.33;f_2.86;f_2.5;f_2.22;f_2;f_1.67;f_1.43;f_1.33;f_1.25;f_1.11;f_1;f_0.83;f_0.71;f_0.62;f_0.56;f_0.5;f_0.4;f_0.33
1;0.142346054;0.232041287;0.209938525;0.16680812;0.137034811;0.104880983;0.012197276;-0.047171696;-0.085185143;-0.09895664;-0.107271958;-0.12791147;-0.110406115;-0.11447127;-0.131070888;-0.170206593;-0.187071906;-0.194942655;-0.197267525;-0.208596903;-0.226270073;-0.220341819;-0.242093217;-0.272166758;-0.290673762;-0.311724043;-0.288754711
2;0.325214804;0.259127676;0.234360888;0.298720127;0.379669728;0.441476098;0.43792953;0.4100666;0.388403722;0.36328851;0.344778552;0.317184226;0.289549234;0.277159589;0.252091472;0.238097692;0.231994201;0.231296091;0.226626199;0.218928017;0.179515734;0.147902989;0.135351357;0.126977397;0.116045366;0.114391563;0.119496948
3;0.523056715;0.44432423;0.423687851;0.47650969;0.558718148;0.630708116;0.636051858;0.606285905;0.60810799;0.528303974;0.492674276;0.468875181;0.430727628;0.410710086;0.371880905;0.384463587;0.374044967;0.346511967;0.314105546;0.297729075;0.265634978;0.224986004;0.244887339;0.255879621;0.247013305;0.227837798;0.229343493
4;-0.040590375;-0.062151557;-0.092335522;-0.070341224;-0.024617563;0.010342289;0.040240843;0.034958713;0.032744331;0.034627393;0.032253137;0.034090203;0.032423155;0.028931637;0.040901486;0.039311503;0.048312007;0.056877395;0.061368833;0.063298488;0.067421615;0.062725143;0.051125823;0.043293043;0.034626376;0.010041178;0.006774411
5;-0.101414431;-0.100931787;-0.105372843;-0.10717228;-0.096651681;-0.088036157;-0.069772903;-0.061731912;-0.048430371;-0.035368438;-0.034612226;-0.032380882;-0.033974199;-0.033438373;-0.015389696;-0.010238719;-0.006736066;-0.007232281;-0.009892361;-0.012669424;-0.031770401;-0.046518943;-0.06666771;-0.073592084;-0.076831131;-0.101931878;-0.129085161
6;-0.401801696;-0.361546494;-0.337956278;-0.387852043;-0.475441129;-0.525810764;-0.517434279;-0.482245082;-0.453451879;-0.409150565;-0.381256295;-0.352524724;-0.327827888;-0.302566936;-0.268112159;-0.237182358;-0.221731243;-0.200599108;-0.178353022;-0.166246189;-0.142237351;-0.100327259;-0.072252215;-0.033798958;-0.004579187;0.026938076;0.023761248
7;-0.09350508;-0.082414566;-0.063402626;-0.063385383;-0.103825363;-0.155005638;-0.13336644;-0.08995501;-0.074958694;-0.036636472;-0.025935292;-0.006406847;0.004787059;0.001365554;-0.011232998;-0.021056925;-0.028305426;-0.035947797;-0.04359114;-0.032825128;0.028680459;0.051110943;0.053083015;0.035756221;0.038491659;0.067403467;0.064546545
8;-0.353228462;-0.328459162;-0.268998722;-0.313311071;-0.374871052;-0.418534527;-0.405879791;-0.370238109;-0.367252015;-0.346052967;-0.32062295;-0.30091548;-0.285250721;-0.267697589;-0.23901157;-0.223250159;-0.210479035;-0.196000945;-0.172940157;-0.159617936;-0.140891475;-0.119558042;-0.103367253;-0.082324957;-0.064009254;-0.032920768;-0.026067711
