reg_id;f_100;f_40;f_25;f_20;f_14.29;f_10;f_6.67;f_5;f_4;f_3.33;f_2.86;f_2.5;f_2.22;f_2;f_1.67;f_1.43;f_1.33;f_1.25;f_1.11;f_1;f_0.83;f_0.71;f_0.62;f_0.56;f_0.5;f_0.4;f_0.33
1;0.040269621;0.04040091;0.041056672;0.041809754;0.042879124;0.04334526;0.042678948;0.041745349;0.040862641;0.040195022;0.039527544;0.038922877;0.038309526;0.037664674;0.036588273;0.035888896;0.035511066;0.035163309;0.034572314;0.034097695;0.033285409;0.032538655;0.03232623;0.032248411;0.032018549;0.031763981;0.031756135
2;0.016435245;0.016487764;0.016776866;0.017059171;0.017391583;0.01753085;0.017314047;0.016996261;0.016687575;0.016495345;0.016282309;0.016084057;0.015868429;0.015631513;0.015270907;0.015032531;0.014913296;0.014816815;0.014645245;0.014514872;0.014306578;0.014100344;0.014060481;0.014079731;0.0140408;0.013995822;0.013997377
3;0.065582767;0.065770302;0.06660365;0.067762221;0.06970142;0.070718004;0.069671461;0.068091778;0.066578808;0.065231979;0.063947748;0.062723174;0.061451132;0.060210294;0.057979299;0.056550476;0.055732689;0.054880749;0.053545326;0.05259971;0.050810647;0.049102033;0.048691967;0.048487587;0.047953688;0.047478834;0.047555301
4;0.010607499;0.010641022;0.010829772;0.011012455;0.011222366;0.011308394;0.011172143;0.010970862;0.010779025;0.010666774;0.0105405;0.010424923;0.010296895;0.010152345;0.009939664;0.009799181;0.00973001;0.009677602;0.009579747;0.00950448;0.009388927;0.009271064;0.009250546;0.009268602;0.009249797;0.009224352;0.009223236
5;0.01246798;0.012508709;0.012732164;0.012955787;0.013225468;0.013333007;0.013155069;0.012901887;0.012661773;0.012511517;0.012347221;0.012197869;0.012039135;0.011861444;0.011587359;0.011402698;0.011309579;0.011234593;0.0110983;0.01098125;0.010792382;0.010623899;0.010567428;0.010552764;0.010502619;0.010444267;0.010441251
6;0.009896365;0.009927644;0.010104941;0.010272891;0.010460672;0.010537479;0.010414271;0.010231159;0.010054679;0.009953759;0.009838037;0.009730814;0.009610866;0.009475602;0.009277594;0.009146042;0.009081933;0.009033589;0.008944078;0.008877088;0.008774657;0.008668486;0.008652968;0.008674009;0.008660593;0.008643938;0.008645403
7;0.025683936;0.025768548;0.026217072;0.026683707;0.027277882;0.027521969;0.027135002;0.026588931;0.026067405;0.025714174;0.025341077;0.025002268;0.024650906;0.024268315;0.023662185;0.023262958;0.023057049;0.02288334;0.022575623;0.022320108;0.021904157;0.021524361;0.021413115;0.021389547;0.021281419;0.02114925;0.021137373
8;0.007717377;0.007742493;0.007883102;0.008013806;0.008158046;0.008215942;0.008117598;0.007974173;0.007832273;0.007748658;0.007651948;0.007560497;0.007460293;0.00734919;0.007181218;0.007067374;0.007011647;0.006967433;0.006888904;0.006827081;0.006728242;0.006635092;0.006612381;0.006617062;0.006598058;0.0065793;0.006582232
