reg_id;f_100;f_40;f_25;f_20;f_14.29;f_10;f_6.67;f_5;f_4;f_3.33;f_2.86;f_2.5;f_2.22;f_2;f_1.67;f_1.43;f_1.33;f_1.25;f_1.11;f_1;f_0.83;f_0.71;f_0.62;f_0.56;f_0.5;f_0.4;f_0.33
1;0.08479144;0.09640255;0.145206893;0.161634694;0.199526769;0.187501513;0.055576367;0.041292029;-0.006924935;-0.059143384;-0.08175974;-0.108357544;-0.105598711;-0.132863885;-0.193192676;-0.257639033;-0.2839419;-0.303488508;-0.324232451;-0.33598959;-0.365811275;-0.295444803;-0.220142215;-0.197426736;-0.189413934;-0.213219134;-0.210067285
2;0.379421168;0.375443362;0.344443756;0.343723327;0.377870225;0.431138339;0.442593527;0.411938509;0.3908889;0.373703688;0.358887695;0.335799593;0.308678328;0.300722846;0.280426589;0.271057285;0.267941483;0.269014534;0.268600469;0.264737113;0.231289148;0.194061845;0.172796126;0.160143631;0.151619873;0.158272676;0.167585633
3;0.586562223;0.584155807;0.558144555;0.555671306;0.58160905;0.616202684;0.63004452;0.596643495;0.602405122;0.535639174;0.503905151;0.489123682;0.451511572;0.440867488;0.412893757;0.428152572;0.421462326;0.39801923;0.371707254;0.362485361;0.333043722;0.289408149;0.299372396;0.302430917;0.289042169;0.281283044;0.295587536
4;-0.006638306;-0.009429109;-0.026346965;-0.034899923;-0.022631398;0.003694197;0.038304915;0.028790816;0.025206521;0.030308863;0.02892758;0.032051163;0.031266468;0.031651839;0.046921629;0.051424862;0.062314874;0.073054114;0.083907697;0.087414485;0.095421523;0.088101621;0.068020599;0.054068968;0.040302468;0.018977921;0.021175793
5;-0.063318899;-0.063796173;-0.066277793;-0.069258285;-0.0757185;-0.074232509;-0.059189374;-0.055735524;-0.042388661;-0.024910397;-0.019161066;-0.014241939;-0.0172603;-0.01655875;0.000308612;0.0062197;0.009489712;0.010681422;0.010486184;0.005654678;-0.016672877;-0.039028548;-0.071480483;-0.088573256;-0.097581661;-0.121024288;-0.135592172
6;-0.458872428;-0.460654518;-0.453913762;-0.45833423;-0.516033186;-0.578688991;-0.57899806;-0.562291773;-0.535673363;-0.48654653;-0.455100465;-0.423076867;-0.391568946;-0.361851994;-0.315099541;-0.275241884;-0.258000405;-0.237291251;-0.213400795;-0.199949143;-0.168185463;-0.138061912;-0.128336762;-0.101439985;-0.082496546;-0.062101829;-0.073599615
7;-0.088015164;-0.087493503;-0.077250494;-0.071566706;-0.082700608;-0.096433054;-0.066853112;-0.031841438;-0.015237701;0.020077584;0.023186926;0.037306781;0.044324526;0.041240583;0.033713971;0.023021481;0.014286275;0.007256997;-0.003167972;-0.00160126;0.051430346;0.056124256;0.04249228;0.023159169;0.026405505;0.052911921;0.051184942
8;-0.434061836;-0.434637061;-0.423980405;-0.42695282;-0.46193258;-0.489142322;-0.461412905;-0.428851176;-0.418290456;-0.389150685;-0.360939524;-0.337374808;-0.321339968;-0.303222368;-0.265989256;-0.247082165;-0.23358673;-0.217277854;-0.193847242;-0.182758965;-0.160515125;-0.155168474;-0.162748692;-0.152380625;-0.137898354;-0.115163479;-0.116292317
