reg_id;f_100;f_40;f_25;f_20;f_14.29;f_10;f_6.67;f_5;f_4;f_3.33;f_2.86;f_2.5;f_2.22;f_2;f_1.67;f_1.43;f_1.33;f_1.25;f_1.11;f_1;f_0.83;f_0.71;f_0.62;f_0.56;f_0.5;f_0.4;f_0.33
1;0.032765741;0.032915165;0.033621496;0.034524071;0.036086904;0.036015689;0.034650552;0.033245031;0.032100297;0.031423149;0.030749448;0.030080208;0.029588025;0.029002459;0.028015893;0.027220645;0.026844314;0.026495177;0.025888172;0.025331786;0.024382784;0.023690597;0.023375363;0.023393292;0.023427545;0.02362882;0.023542789
2;0.014320443;0.014371525;0.014640118;0.014999154;0.015628629;0.015610022;0.015141244;0.014661815;0.014274967;0.014117779;0.013935372;0.01372529;0.013585878;0.013393141;0.013108764;0.012900405;0.012809628;0.012723934;0.012564095;0.012435148;0.01219272;0.011970496;0.011897164;0.011948235;0.011961922;0.012006178;0.011946688
3;0.061663902;0.061873709;0.062849279;0.064264605;0.067083749;0.067485871;0.065749685;0.063769083;0.062104785;0.061009981;0.059857063;0.058837633;0.057846542;0.056792093;0.05499676;0.053731033;0.053117391;0.05250925;0.051452569;0.050458442;0.048697941;0.047053603;0.046179312;0.045834154;0.045347115;0.045017926;0.044759214
4;0.008761192;0.008793751;0.008971062;0.009203545;0.009589197;0.009538856;0.009213645;0.008894874;0.008647353;0.008574503;0.00847832;0.008354583;0.00829791;0.008195673;0.008063866;0.007971521;0.007933945;0.007897332;0.00782583;0.007781772;0.007686015;0.007579547;0.007562341;0.007624647;0.00766094;0.007725578;0.007697876
5;0.00963832;0.009676655;0.009888818;0.010162765;0.010593866;0.010493953;0.010094466;0.009726425;0.009450937;0.00937453;0.009271184;0.009135773;0.009080203;0.008972038;0.00884104;0.008751972;0.008716713;0.008681276;0.008610568;0.008573903;0.008481983;0.008370617;0.008357688;0.008435904;0.008487532;0.008575736;0.008547854
6;0.00797796;0.008011004;0.008195718;0.008429554;0.008787014;0.00868127;0.008307007;0.007955945;0.007698005;0.007656734;0.007582114;0.007468048;0.007457203;0.007383437;0.007316808;0.007274201;0.007259818;0.007242925;0.007205325;0.007203734;0.007172731;0.007106407;0.007121489;0.007215375;0.007283075;0.007389679;0.007377298
7;0.02072215;0.020805536;0.021239404;0.021804024;0.02274498;0.022631885;0.021831308;0.021050896;0.02043617;0.020173924;0.019877094;0.01954231;0.019331741;0.019037557;0.018590785;0.018243667;0.0180842;0.017932204;0.017652238;0.01740716;0.016946358;0.01656379;0.016403737;0.016433967;0.016436699;0.016497362;0.016409821
8;0.006897535;0.006923166;0.007054178;0.007225846;0.007529818;0.007528268;0.007285312;0.007014064;0.006786496;0.006709662;0.00661506;0.006498151;0.006448004;0.006356656;0.006225234;0.006122164;0.006076828;0.006034356;0.005956527;0.005898751;0.005793165;0.005700554;0.005681514;0.005730265;0.005766;0.005828414;0.0058104
